BuildingType,Neighborhood,CouncilDistrictCode,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),Total Consumption (kbtu),Total EUI (kbtu/sf),Energy Use,Landmark,Wind Speed (kts),Daytime Temperature (C),Nighttime Temperature (C),Climate Type,Earthquake Risk,Flood Risk,Water Bodies,Commercial,Industrial,Public Utilities,Energy Efficiency Class
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.62746,-122.34729,1992,4,42093,1178700.4307288,28.00229089703276,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily HR (10+),DOWNTOWN,3.0,47.6161,-122.33576,2006,33,299755,9665692.7604034,32.24530953746693,Natural Gas,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,3
Multifamily LR (1-4),NORTHWEST,5.0,47.72116,-122.35512,1976,3,23271,572308.2741432,24.59319643088823,Electricity,Terrain,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.68173,-122.26408,1985,3,30542,868976.9255552,28.45186711921944,Electricity,Coastal,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily LR (1-4),NORTHWEST,5.0,47.72298,-122.34795,1989,4,34368,1084822.178888,31.56489114548417,Electricity,Terrain,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.62525,-122.36023,1982,4,59670,1541957.0254648,25.841411521112786,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily HR (10+),EAST,3.0,47.61028,-122.32524,1950,13,108228,4765005.9462834,44.02747852943231,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,0
Multifamily MR (5-9),EAST,3.0,47.62185,-122.32238,1928,5,20639,842629.4915082001,40.827050317757646,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.64127,-122.31338,1966,4,31682,978131.3353392,30.87340872859037,Electricity,Coastal,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily LR (1-4),NORTHWEST,6.0,47.69127,-122.35025,1997,3,31017,1189481.922409,38.34935430276944,Electricity,Terrain,2.0,12.0,10.0,0,Fair,No Flood,256.0,302.0,105.0,178.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.64533,-122.32637,1996,4,36900,1439940.815908,39.02278633897019,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily MR (5-9),LAKE UNION,4.0,47.64711,-122.32515,2008,6,106182,3988246.736913,37.56047858312144,Mixed,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,0
Multifamily MR (5-9),LAKE UNION,4.0,47.64676,-122.32456,1958,6,56144,1620398.7487072,28.8614767153605,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.64626,-122.32367,1928,4,37885,1123569.0616592,29.657359420857865,Natural Gas,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.64816,-122.32169,1926,3,23867,631201.8381592,26.44663502573428,Electricity,Coastal,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.65084,-122.32147,1997,3,27683,1256476.7863592,45.38802826135896,Electricity,Coastal,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily MR (5-9),NORTHEAST,4.0,47.65058,-122.32159,2008,6,20148,1008745.4536956,50.066778523704585,Electricity,Coastal,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61208,-122.34287,2004,23,246019,18260849.542953,74.22536284983273,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,3
Multifamily LR (1-4),BALLARD,6.0,47.6958,-122.37208,1978,4,35512,945149.5746336,26.614935082045506,Electricity,Terrain,3.0,13.0,10.0,0,Fair,No Flood,256.0,92.0,76.0,20.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.56584,-122.38655,2008,4,40326,1461856.2612396,36.25096119723255,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily MR (5-9),BALLARD,6.0,47.67121,-122.38786,2012,6,31248,889736.5947462,28.47339332905146,Electricity,Coastal,3.0,13.0,10.0,0,Moderate,Flood,256.0,92.0,76.0,20.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.65598,-122.34694,2002,4,41316,1600099.123447,38.728316474174655,Mixed,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.58318,-122.38461,1985,4,21600,564211.2621264,26.12089176511111,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.60571,-122.33759,1902,6,89974,1810178.6523576,20.11890826636139,Electricity,Terrain,5.0,12.0,11.0,3,Fair,No Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),LAKE UNION,4.0,47.65299,-122.35299,1988,4,22448,528226.8168128,23.53113047099073,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.65303,-122.3469,1994,4,45956,1123038.164808,24.43724790686744,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily MR (5-9),LAKE UNION,4.0,47.64943,-122.34637,1990,7,86358,2795590.035478,32.37210259012483,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61094,-122.34075,1909,8,55882,4636395.943303,82.9676093071651,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.6119,-122.34055,1901,6,40109,2076022.635987,51.75952120439303,Natural Gas,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61117,-122.34044,1907,14,148219,7173554.1068684,48.39834371348073,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61246,-122.34239,1999,6,99450,4650272.7159274,46.75990664582604,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61334,-122.34394,1918,5,32760,1292370.0660875998,39.449635716959705,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61351,-122.34312,2007,6,96980,4931794.850271201,50.85373118448341,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61328,-122.34106,1915,5,32460,2152036.7141448,66.298111957634,Natural Gas,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily HR (10+),EAST,3.0,47.6115,-122.32984,1922,10,90920,5613773.983533001,61.744104526319845,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,0
Multifamily HR (10+),EAST,3.0,47.61088,-122.32932,1954,19,632849,34615591.130918205,54.6980261182655,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,2
Multifamily MR (5-9),EAST,3.0,47.61075,-122.32689,1925,5,52620,3338372.9836756,63.44304415955151,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.65061,-122.34946,1907,4,36660,983887.8392224,26.83818437595199,Mixed,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily MR (5-9),LAKE UNION,4.0,47.64985,-122.35046,2002,6,157896,4121884.113508,26.10505721175964,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,0
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.64936,-122.35836,2004,4,22625,929828.3926742,41.0973875215116,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.64848,-122.35589,1991,4,30661,712052.5333712,23.223395628687907,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.63491,-122.34266,1995,6,106146,3978471.80206,37.48112789987376,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,0
Multifamily LR (1-4),NORTHWEST,5.0,47.73269,-122.34952,1970,3,57247,2959324.8180534,51.69397205186997,Electricity,Terrain,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,1
Multifamily LR (1-4),NORTHWEST,5.0,47.73255,-122.35506,2007,4,60767,1774938.0539128,29.208913619444765,Electricity,Terrain,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,1
Multifamily LR (1-4),NORTHWEST,5.0,47.72305,-122.34878,1976,3,30940,542042.5781512,17.51915249357466,Electricity,Coastal,2.0,12.0,10.0,0,Lower,Drainage Flood,20.0,302.0,105.0,178.0,1
Multifamily MR (5-9),NORTHWEST,5.0,47.72435,-122.34697,2007,6,141849,6967686.256474,49.12044678830305,Mixed,Terrain,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,0
Multifamily MR (5-9),NORTHWEST,5.0,47.72644,-122.34923,1964,7,183392,13579485.797133,74.04622773694054,Natural Gas,Coastal,2.0,12.0,10.0,0,Lower,Drainage Flood,20.0,302.0,105.0,178.0,3
Multifamily LR (1-4),NORTHWEST,5.0,47.72678,-122.35493,1989,4,41336,1399527.4107976,33.85734978705245,Electricity,Coastal,2.0,12.0,10.0,0,Lower,Drainage Flood,20.0,302.0,105.0,178.0,1
Multifamily LR (1-4),NORTHWEST,5.0,47.72376,-122.35102,1983,3,59301,1899259.4331088,32.027443603123054,Electricity,Coastal,2.0,12.0,10.0,0,Lower,Drainage Flood,20.0,302.0,105.0,178.0,1
Multifamily MR (5-9),NORTHWEST,5.0,47.72357,-122.34766,2006,7,214332,7169335.08361,33.449671927710284,Electricity,Terrain,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,3
Multifamily LR (1-4),NORTHEAST,4.0,47.67179,-122.31781,1999,4,34691,2013543.1597272,58.04223457747543,Mixed,Terrain,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.61294,-122.3441,1910,3,35520,1005747.2154228,28.314955389155408,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61098,-122.34162,1909,6,40950,959671.6492832,23.435205110700856,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62307,-122.36173,1992,5,22558,600444.7937768,26.617820452912493,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62145,-122.35849,2001,6,50009,1585901.056735,31.71231291837469,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62158,-122.35897,1994,9,171869,5618773.4950324,32.69218704380895,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,0
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62013,-122.35843,2001,7,91685,2977214.3445252003,32.472207498775155,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,0
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62072,-122.35702,2004,6,59352,1719855.852064,28.97721815716404,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.62279,-122.35708,1912,3,22200,522002.7269266,23.513636348045043,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62282,-122.35784,1999,6,44567,1255366.8642324,28.16808096197635,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.62194,-122.35646,1908,3,25800,876939.8291578,33.989915858829455,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.6206,-122.35581,1908,3,20712,907568.6338082,43.8184933279355,Natural Gas,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily HR (10+),DOWNTOWN,3.0,47.61159,-122.33601,1923,10,67560,2521898.9298249995,37.32828492932208,Electricity,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61029,-122.33932,1910,7,42078,1465651.176459,34.83176901133609,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.60906,-122.33757,1907,3,27250,1339787.777378,49.166523940477056,Mixed,Terrain,5.0,12.0,11.0,3,Fair,No Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),EAST,3.0,47.61187,-122.3278,1925,5,37676,612363.4043856,16.2534081214991,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.6116,-122.32774,1962,5,36047,3201027.0038484,88.80148150604488,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),EAST,3.0,47.61266,-122.328,1925,4,55671,2136582.3523932,38.37873133935442,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61242,-122.3277,1925,6,50965,1756624.1240098,34.467264279599725,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61255,-122.32712,1991,5,30560,1911135.4128542,62.53715356198298,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily HR (10+),EAST,3.0,47.61191,-122.32666,1962,18,225423,12759535.291696,56.60263279122361,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,3
Multifamily LR (1-4),EAST,3.0,47.61048,-122.32419,1905,4,24840,747937.897872,30.110221331400965,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),EAST,3.0,47.61099,-122.32474,1997,4,69296,3182021.2343886,45.91926279133861,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61136,-122.32454,1928,5,59534,2185483.5190832,36.70983839626432,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61187,-122.32477,1993,5,72128,3728968.8159062,51.699323645549576,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,0
Multifamily HR (10+),EAST,3.0,47.61248,-122.32556,2000,13,158076,17874109.837726,113.07288796354918,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,0
Multifamily LR (1-4),EAST,3.0,47.61241,-122.32417,1916,4,77246,2137925.1442824,27.67683950343577,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,0
Multifamily MR (5-9),EAST,3.0,47.61152,-122.32301,1987,5,42331,1207014.3817256,28.51372237191656,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61266,-122.3232,1998,5,21832,659334.9456512,30.20039142777574,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily HR (10+),EAST,3.0,47.6085,-122.32787,1949,14,256482,15542614.1100934,60.59923936219072,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,3
Multifamily HR (10+),EAST,3.0,47.60892,-122.32896,1928,11,105776,1601208.8643488,15.137733175283618,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,0
Multifamily LR (1-4),EAST,3.0,47.60895,-122.32749,1923,4,43606,1113409.1012128,25.53339222154749,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),EAST,3.0,47.60932,-122.32713,1924,4,58503,3021420.770461,51.64556980771926,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.61934,-122.35322,2008,7,132912,5215621.5293538,39.2411635469619,Mixed,Terrain,3.0,12.0,10.0,0,Moderate,No Flood,0.0,234.0,40.0,141.0,0
Multifamily MR (5-9),LAKE UNION,7.0,47.61942,-122.33753,2013,7,75654,2081874.9536852,27.51837250753694,Electricity,Terrain,3.0,14.0,11.0,0,Moderate,No Flood,0.0,273.0,58.0,47.0,0
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62361,-122.35455,2012,7,301831,6090932.3884688,20.17994304252645,Natural Gas,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,3
Multifamily HR (10+),DOWNTOWN,7.0,47.60635,-122.33817,2000,28,970647,43591365.618495,44.90959701981771,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,2
Multifamily MR (5-9),DOWNTOWN,7.0,47.6078,-122.34014,1989,8,42765,1419529.3848568,33.19371880876418,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.60763,-122.34005,1915,4,31578,1695646.6744012,53.697088935372726,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily HR (10+),EAST,3.0,47.60954,-122.33025,1926,1,164120,5983908.728576,36.46056987921033,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61012,-122.34073,1909,6,51578,1481545.0440336,28.72436007665284,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61205,-122.34738,1994,6,64826,2141392.4373212,33.03292563664579,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61064,-122.3425,1901,6,70850,4055661.7390204,57.24293209626535,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61033,-122.34184,1914,5,39528,797881.5431776,20.185224225298523,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61135,-122.34483,2001,8,57492,1910790.403433,33.23576155696445,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61305,-122.3466,2010,8,42506,1270341.2641788,29.8861634634828,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61277,-122.34614,1970,16,80471,4243352.1804228,52.731445867738685,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),DOWNTOWN,7.0,47.61252,-122.34565,1900,3,27140,686209.9249598,25.28407977007369,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61345,-122.34525,1995,5,46951,3770282.8652488,80.3025039988243,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61319,-122.34481,1923,6,50376,1719886.5613384,34.14099097463872,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.64272,-122.32866,1974,4,32626,1006899.1011688,30.86186174121253,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),EAST,4.0,47.63364,-122.32271,1949,3,21112,1192831.6797916,56.500174298579005,Natural Gas,Coastal,3.0,13.0,11.0,1,Fair,No Flood,20.0,126.0,29.0,130.0,1
Multifamily LR (1-4),NORTH,5.0,47.72641,-122.31519,1987,3,22646,740335.7750936,32.69167955018988,Electricity,Green,5.0,13.0,11.0,3,Lower,No Flood,20.0,471.0,81.0,352.0,1
Multifamily MR (5-9),LAKE UNION,7.0,47.61868,-122.34266,2008,6,44717,1819087.9414028,40.68000852925733,Mixed,Terrain,3.0,14.0,11.0,0,Moderate,No Flood,0.0,273.0,58.0,47.0,1
Multifamily MR (5-9),LAKE UNION,7.0,47.62067,-122.34071,2005,6,65000,2142563.7796,32.96251968615385,Mixed,Terrain,3.0,14.0,11.0,0,Moderate,No Flood,0.0,273.0,58.0,47.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.62304,-122.3624,1967,4,33953,838581.5681824,24.698305545383324,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.63873,-122.34425,1985,4,20594,573836.91358,27.864276662134603,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.56336,-122.38774,1975,4,26666,186200.567112,6.982695834095852,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.65818,-122.40283,1976,3,20930,518966.2645104,24.79533036361204,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),NORTH,5.0,47.71496,-122.3129,1989,4,39632,1175803.5225104,29.668033975333064,Electricity,Terrain,5.0,13.0,11.0,3,Lower,No Flood,20.0,471.0,81.0,352.0,1
Multifamily LR (1-4),NORTH,5.0,47.71306,-122.31309,1970,4,36408,985078.4556368,27.05664841894089,Electricity,Terrain,5.0,13.0,11.0,3,Lower,No Flood,20.0,471.0,81.0,352.0,1
Multifamily LR (1-4),NORTH,5.0,47.71235,-122.31323,1962,4,89391,5893068.5525844,65.92462946587911,Electricity,Terrain,5.0,13.0,11.0,3,Lower,No Flood,20.0,471.0,81.0,352.0,0
Multifamily LR (1-4),NORTH,5.0,47.7124,-122.31414,1978,4,51387,1186132.0751336,23.082337461490265,Electricity,Terrain,5.0,13.0,11.0,3,Lower,No Flood,20.0,471.0,81.0,352.0,1
Multifamily LR (1-4),NORTH,5.0,47.68982,-122.32335,1989,4,20559,511428.843716,24.876153690160027,Electricity,Terrain,5.0,13.0,11.0,3,Lower,No Flood,20.0,471.0,81.0,352.0,1
Multifamily MR (5-9),LAKE UNION,4.0,47.63361,-122.3249,2005,6,59414,2893451.962236,48.69983442010301,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),DELRIDGE NEIGHBORHOODS,1.0,47.53445,-122.34774,1967,3,21385,494593.3370616,23.1280494300491,Electricity,Terrain,5.0,13.0,10.0,2,Moderate,Drainage Flood,3.0,27.0,222.0,437.0,1
Multifamily LR (1-4),DELRIDGE NEIGHBORHOODS,1.0,47.53384,-122.34899,1980,3,24459,692221.166392,28.30128649544136,Electricity,Terrain,5.0,13.0,10.0,2,Moderate,Drainage Flood,3.0,27.0,222.0,437.0,1
Multifamily LR (1-4),SOUTHEAST,2.0,47.52284,-122.27265,1962,3,30891,992155.2373152,32.11793847124405,Electricity,Coastal,1.0,14.0,11.0,1,Low,No Flood,0.0,473.0,1043.0,1321.0,1
Multifamily LR (1-4),SOUTHEAST,2.0,47.52214,-122.27161,2000,2,40542,1714488.5533272,42.289195237709045,Electricity,Coastal,1.0,14.0,11.0,1,Low,No Flood,0.0,473.0,1043.0,1321.0,1
Multifamily MR (5-9),SOUTHWEST,1.0,47.59491,-122.38654,1975,5,41510,1284207.1780504,30.93729650807998,Electricity,Green,3.7,12.7,10.0,2,Low,No Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),CENTRAL,3.0,47.62182,-122.29819,1978,2,56340,1100026.6818576,19.524790235314168,Electricity,Terrain,4.0,12.5,11.0,1,Fair,No Flood,4.0,192.0,46.0,149.0,1
Multifamily LR (1-4),EAST,3.0,47.62728,-122.32468,1928,3,25538,839287.0878444,32.86424496218968,Mixed,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),EAST,3.0,47.62586,-122.32576,1949,3,44672,2171260.3055884,48.604501826387896,Natural Gas,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),EAST,3.0,47.62644,-122.32578,1989,4,25525,568312.6563296,22.26494246149265,Electricity,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
